	tconst	Box office max	genres
81	tt11478150	94000000.0	Drama
82	tt11486994	601000000.0	Horror,Thriller
83	tt11490170	11.0	Action,Crime,Drama
84	tt11496264	37000000.0	Documentary
85	tt11502856	192000000.0	Drama
86	tt11512676	1822000000.0	Documentary,Short
87	tt11517944	1190416.0	Comedy,Short
88	tt11535228	214000000.0	Action,Drama,Thriller
89	tt11540284	8362.0	Comedy,Family
90	tt11543916	44.0	Horror,Thriller
91	tt11547520	117000000.0	Biography,Drama,War
92	tt11552344	470000.0	Crime,Drama,Mystery
93	tt11562006	31000000.0	Drama,Short
94	tt11562006	31000000.0	Drama,Short
95	tt11562006	31000000.0	Drama,Short
96	tt11562006	31000000.0	Drama,Short
97	tt11562006	31000000.0	Drama,Short
98	tt11562006	31000000.0	Drama,Short
99	tt11562006	31000000.0	Drama,Short
100	tt11564570	15000000.0	Comedy,Crime,Drama
101	tt11566164	8357581.0	Comedy
102	tt11569456	11000000.0	Comedy,Drama
103	tt11571408	1011000000.0	Drama
104	tt11575056	106645.0	Drama
105	tt11576698	103000000.0	Drama
106	tt11580630	166749.0	Drama,Short
107	tt11580944	551.0	Action,Drama,Sport
108	tt11586384	16781408.0	Drama,Fantasy,Horror
109	tt11589586	11864.0	Drama,Short
110	tt11591848	29000000.0	Drama,Short
112	tt11608184	7235.0	Drama,Short
113	tt11611064	242623.0	Comedy,Drama
114	tt11618536	18370.0	Comedy,Drama,Romance
115	tt11620774	216000000.0	Comedy,Short
116	tt11626842	471000000.0	Drama,Short
117	tt11636880	958440.0	Action,Thriller
118	tt11639052	25000000.0	Drama
119	tt11639420	67000000.0	Action,Adventure,Animation
120	tt11639942	269823.0	Drama,Romance
121	tt11646788	501000000.0	Short
122	tt11649614	176000000.0	Action,Comedy
123	tt11650404	206000000.0	Comedy
124	tt11651550	483000000.0	Crime,Drama,Thriller
125	tt11654030	58000000.0	Documentary,Short
126	tt11654032	0.0	Animation
127	tt11655202	7957296.0	Action,Comedy,Drama
128	tt11661552	17000000.0	Documentary,History
129	tt11663228	607650.0	Action,Comedy,Crime
130	tt11680920	118000000.0	Drama,Musical
131	tt11681250	2053000000.0	Comedy,Drama,Family
132	tt11692070	12000000.0	Drama,Family
133	tt11695514	30000000.0	Documentary,Short
134	tt11697484	12604.0	Action,Drama
135	tt11700260	47000000.0	Comedy,Drama
136	tt11701810	117516.0	Documentary
137	tt11703244	186000000.0	Comedy,Horror,Thriller
138	tt11703710	927000000.0	Drama,Romance
139	tt11714318	712000000.0	Short
140	tt11720440	100.0	Comedy,Drama,Romance
141	tt11724220	68798.0	Documentary,Short
142	tt11729298	265000000.0	Biography,Drama,Sport
143	tt11733790	3000000.0	Biography,Documentary,Romance
144	tt11738830	37539.0	Comedy,Drama,Mystery
145	tt11749214	142000000.0	Short
146	tt11750282	4672000000.0	Adventure,Drama,Horror
147	tt11762434	349757.0	Action,Sci-Fi
148	tt11768456	255000000.0	Documentary
149	tt11771230	218000000.0	Short
150	tt11772054	132000000.0	Short
151	tt11772054	132000000.0	Short
152	tt11772420	19000000.0	Crime,Documentary
153	tt11773378	20020.0	Action,Drama
154	tt11777040	134000000.0	Action,Crime,Drama
155	tt11779616	28000000.0	Drama,Mystery,Thriller
156	tt11788650	13111833000000.0	Animation,Short
157	tt11799110	202000000.0	Action,Thriller
158	tt11802992	536023.0	Animation,Drama,Music
159	tt11804152	418807.0	Thriller
160	tt11807968	114000000.0	Comedy
161	tt11809028	123000000.0	Drama,Short
162	tt11810050	15.0	Drama,Short,Sport
163	tt11813216	523000000.0	Comedy,Drama
164	tt11813216	523000000.0	Comedy,Drama
165	tt11816092	44000000.0	Comedy
166	tt11829884	1132000000.0	Comedy
167	tt11832046	1514000000.0	Action,Adventure,Animation
168	tt11837558	24000000.0	Comedy
169	tt11840016	87000000.0	Documentary
170	tt11844812	13493.0	Horror
171	tt11847024	11.0	Horror,Short
172	tt11851548	44000000.0	Crime,Drama,Horror
173	tt11853512	11000000.0	Action,Drama
174	tt11860854	151000000.0	Comedy,Romance,Short
175	tt11867812	55000000.0	Short
176	tt11871074	1164.0	Drama
177	tt11873440	3513.0	Action,Comedy,Crime
178	tt11874226	275304.0	Documentary,Music,Musical
179	tt11891850	2428000000.0	Comedy,Drama
