	tconst	Box office max	genres
119	tt11639420	67000000.0	Short
120	tt11639942	269823.0	Comedy
121	tt11646788	501000000.0	Drama
122	tt11649614	176000000.0	Sci-Fi
123	tt11650404	206000000.0	Action
124	tt11651550	483000000.0	Comedy
125	tt11654030	58000000.0	Crime
126	tt11654032	0.0	Adventure
127	tt11655202	7957296.0	Animation
128	tt11661552	17000000.0	Comedy
129	tt11663228	607650.0	Documentary
130	tt11680920	118000000.0	Horror
131	tt11681250	2053000000.0	Drama
132	tt11692070	12000000.0	Romance
133	tt11695514	30000000.0	Comedy
134	tt11697484	12604.0	Drama
135	tt11700260	47000000.0	Romance
136	tt11701810	117516.0	Short
137	tt11703244	186000000.0	Drama
138	tt11703710	927000000.0	Horror
139	tt11714318	712000000.0	Mystery
140	tt11720440	100.0	Crime
141	tt11724220	68798.0	Drama
142	tt11729298	265000000.0	Crime
143	tt11733790	3000000.0	Drama
144	tt11738830	37539.0	Documentary
145	tt11749214	142000000.0	Sci-Fi
146	tt11750282	4672000000.0	Drama
147	tt11762434	349757.0	Crime
148	tt11768456	255000000.0	Mystery
149	tt11771230	218000000.0	Romance
150	tt11772054	132000000.0	Documentary
151	tt11772054	132000000.0	Action
152	tt11772420	19000000.0	Comedy
153	tt11773378	20020.0	Fantasy
154	tt11777040	134000000.0	Drama
155	tt11779616	28000000.0	History
156	tt11788650	13111833000000.0	Thriller
157	tt11799110	202000000.0	Documentary
158	tt11802992	536023.0	Comedy
159	tt11804152	418807.0	Drama
160	tt11807968	114000000.0	Drama
161	tt11809028	123000000.0	Music
162	tt11810050	15.0	Romance
163	tt11813216	523000000.0	Drama
164	tt11813216	523000000.0	Short
165	tt11816092	44000000.0	Adventure
166	tt11829884	1132000000.0	Fantasy
167	tt11832046	1514000000.0	Drama
168	tt11837558	24000000.0	Documentary
169	tt11840016	87000000.0	Documentary
170	tt11844812	13493.0	Documentary
171	tt11847024	11.0	History
172	tt11851548	44000000.0	Music
173	tt11853512	11000000.0	Family
174	tt11860854	151000000.0	Comedy
175	tt11867812	55000000.0	Drama
176	tt11871074	1164.0	Romance
177	tt11873440	3513.0	Biography
178	tt11874226	275304.0	Comedy
179	tt11891850	2428000000.0	Crime
180	tt11891850	2428000000.0	Comedy
181	tt11891850	2428000000.0	Fantasy
182	tt11891850	2428000000.0	Musical
183	tt11905962	354023.0	Drama
184	tt11940290	325070.0	Romance
185	tt11947048	32000000.0	Documentary
186	tt11947048	32000000.0	Drama
187	tt11947048	32000000.0	Action
188	tt11952606	131000000.0	Comedy
189	tt11958368	791863.0	Documentary
190	tt11992694	31000000.0	Drama
191	tt11992694	31000000.0	Horror
192	tt11992694	31000000.0	Thriller
