	Budget max	Box office max
206	25000000.0	63000000.0
207	2000000000.0	900000000.0
208	90110000000.0	4054000000.0
209	90110000000.0	4054000000.0
210	140.0	230.0
211	1013000000.0	39000000.0
212	3000000.0	346899.0
213	3000000.0	346899.0
214	14000000.0	86000000.0
215	14000000.0	86000000.0
216	175200000000.0	2549000000.0
217	100000.0	443807.0
218	395000000.0	659009.0
219	0.0	25488.0
220	20000000.0	10885116.0
221	20000000.0	10885116.0
222	18000000.0	252000000.0
223	18000000.0	252000000.0
224	18000000.0	252000000.0
225	18000000.0	252000000.0
226	450.0	182.0
227	85990000000.0	2393000000.0
228	8000000.0	1670000000.0
229	15000000000.0	188000000.0
230	36000000.0	35000000.0
231	36000000.0	35000000.0
232	36000000.0	35000000.0
233	36000000.0	35000000.0
234	361000000.0	216000000.0
